J. no.,J. len [ft],t [in],to u/s w. [ft],log dist. [ft],Height [ft],event,depth [%],ID Reduction [%],length [in],width [in],P2 Burst / MOP,o'clock,internal,comment,clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification
,,0.449,,-27.82,803.6748,Area Start Launcher,,,,,,,,,,-8.479536000000001,ft,,in,,in,,,area start launcher,False,False,True
,,,,-19.48,803.6644,Support,,,,,,06:00:00,,,180.0,-5.937504000000001,ft,,in,,in,,180.0,support,True,False,True
,,,,-15.78,803.6598,Support,,,,,,06:00:00,,,180.0,-4.809744,ft,,in,,in,,180.0,support,True,False,True
,,,,-12.21,803.6553,Tap,,,,,,06:00:00,,,180.0,-3.7216080000000002,ft,,in,,in,,180.0,tap,True,False,True
,,,,-6.49,803.6481,Support,,,,,,,,Strap,,-1.9781520000000001,ft,,in,,in,,,support,False,False,True
10.0,26.46,0.5,,-5.3,803.6466,Flange,,,,,,,,,,-1.61544,ft,,in,,in,,,flange,False,False,True
,,,,-1.38,803.6417,Tap,,,,,,09:00:00,,,270.0,-0.420624,ft,,in,,in,,270.0,tap,True,False,True
,,,,0.0,803.64,Valve,,,,,,,,,,0.0,ft,,in,,in,,,valve,False,False,True
,,,,1.41,803.6382,Tap,,,,,,09:00:00,,,270.0,0.429768,ft,,in,,in,,270.0,tap,True,False,True
,,,,8.08,803.6299,Tee,,,,,,09:00:00,,,270.0,2.462784,ft,,in,,in,,270.0,tee,True,False,True
,,,,11.21,803.4864,Tap,,,,,,12:00:00,,,0.0,3.4168080000000005,ft,,in,,in,,0.0,tap,True,False,True
,,,,15.36,802.9064,Bend,,,,,,,,5.1D - 32° - Over,,4.681728,ft,,in,,in,,,bend,False,False,True
20.0,7.23,0.344,,21.15,801.7901,Area End Launcher,,,,,,,,"0.344""",,6.44652,ft,,in,,in,,,area end launcher,False,False,True
,,,,21.57,801.71,Magnet,,,,,,12:00:00,,ROSEN,0.0,6.574536,ft,,in,,in,,0.0,magnet,True,False,True
30.0,10.62,0.5,,28.38,800.413,Girth Weld,,,,,,,,"0.500""",,8.650224,ft,,in,,in,,,weld,False,False,True
,,,,29.8,800.2077,Above Ground Marker,,,,,,,,Launcher,,9.08304,ft,,in,,in,,,above ground marker,False,False,True
,,,,33.82,799.8962,Bend,,,,,,,,6.1D - 42° - Sag,,10.308336,ft,,in,,in,,,bend,False,False,True
40.0,14.91,0.5,,39.0,799.8944,Girth Weld,,,,,,,,,,11.8872,ft,,in,,in,,,weld,False,False,True
,,,,46.17,799.9008,Bend,,,,,,,,5.8D - 45° - Right,,14.072616000000002,ft,,in,,in,,,bend,False,False,True
50.0,39.89,0.344,,53.91,799.9028,Girth Weld,,,,,,,,"0.344""",,16.431767999999998,ft,,in,,in,,,weld,False,False,True
60.0,9.64,0.5,,93.8,799.8784,Girth Weld,,,,,,,,"0.500""",,28.59024,ft,,in,,in,,,weld,False,False,True
,,,,98.5,799.8591,Bend,,,,,,,,5.0D - 23° - Left,,30.0228,ft,,in,,in,,,bend,False,False,True
70.0,25.02,0.344,,103.43,799.8257,Girth Weld,,,,,,,,"0.344""",,31.525464000000003,ft,,in,,in,,,weld,False,False,True
,,,,107.46,799.493,Bend,,,,,,,,5.2D - 22° - Over,,32.753808,ft,,in,,in,,,bend,False,False,True
,,0.344,-21.69,125.12,797.4828,Cluster,16.0,,3.55,2.64,,09:04:00,NO,,270.0,38.136576000000005,ft,90.16999999999999,in,67.056,in,16.0,270.0,cluster,True,True,True
,,0.344,-24.15,127.58,797.199,Cluster,18.0,,2.0,3.44,,05:50:00,NO,,150.0,38.886384,ft,50.8,in,87.37599999999999,in,18.0,150.0,cluster,True,True,True
80.0,15.16,0.344,,128.45,797.0989,Girth Weld,,,,,,,,,,39.151559999999996,ft,,in,,in,,,weld,False,False,True
90.0,31.57,0.344,,143.61,795.3491,Girth Weld,,,,,,,,,,43.77232800000001,ft,,in,,in,,,weld,False,False,True
100.0,40.06,0.344,,175.18,791.6757,Girth Weld,,,,,,,,,,53.394864000000005,ft,,in,,in,,,weld,False,False,True
110.0,40.04,0.344,,215.24,787.0014,Girth Weld,,,,,,,,,,65.605152,ft,,in,,in,,,weld,False,False,True
120.0,13.63,0.5,,255.28,782.303,Girth Weld,,,,,,,,"0.500""",,77.80934400000001,ft,,in,,in,,,weld,False,False,True
,,,,262.31,781.775,Bend,,,,,,,,5.2D - 42° - Left,,79.952088,ft,,in,,in,,,bend,False,False,True
130.0,40.08,0.344,,268.91,781.7673,Girth Weld,,,,,,,,"0.344""",,81.96376800000002,ft,,in,,in,,,weld,False,False,True
140.0,40.03,0.344,,308.99,781.9334,Girth Weld,,,,,,,,,,94.180152,ft,,in,,in,,,weld,False,False,True
150.0,10.13,0.5,,349.02,781.8892,Girth Weld,,,,,,,,"0.500""",,106.381296,ft,,in,,in,,,weld,False,False,True
,,,,354.08,781.6514,Bend,,,,,,,,5.1D - 28° - Right,,107.923584,ft,,in,,in,,,bend,False,False,True
160.0,16.99,0.344,,359.15,781.1295,Girth Weld,,,,,,,,"0.344""",,109.46892,ft,,in,,in,,,weld,False,False,True
170.0,8.13,0.5,,376.14,779.2908,Girth Weld,,,,,,,,"0.500""",,114.64747200000001,ft,,in,,in,,,weld,False,False,True
,,,,379.98,779.0196,Bend,,,,,,,,5.7D - 18° - Sag,,115.81790400000001,ft,,in,,in,,,bend,False,False,True
180.0,23.07,0.344,,384.27,779.0088,Girth Weld,,,,,,,,"0.344""",,117.125496,ft,,in,,in,,,weld,False,False,True
190.0,10.09,0.5,,407.34,779.0063,Girth Weld,,,,,,,,"0.500""",,124.157232,ft,,in,,in,,,weld,False,False,True
,,,,412.26,779.2817,Bend,,,,,,,,5.3D - 25° - Sag,,125.656848,ft,,in,,in,,,bend,False,False,True
