J. no.,J. len [ft],Wt [in],to u/s w. [ft],to d/s w. [ft],Log Dist. [ft],Event Description,ID/OD,Depth [%],Depth [in],OD Reduction [%],OD Reduction [in],Length [in],Width [in],O'clock,Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification
,,,,,-14.6,Area Start Launcher,,,,,,,,,,,,233.7,,,,,,,,,,,,,,,,,-4.45008,ft,,in,,in,,,,False,False,False
,,,,,-1.39,Tap,,,,,,,,09:00:00,,,,233.5,,,,,,,,,,,,,,,,270.0,-0.423672,ft,,in,,in,,270.0,,True,False,False
,,,,,0.0,Valve,,,,,,,,,,,,233.47,,,,,,,,,,,,,,,,,0.0,ft,,in,,in,,,,False,False,False
,,,,,1.4,Tap,,,,,,,,09:00:00,,,,233.45,,,,,,,,,,,,,,,,270.0,0.42672,ft,,in,,in,,270.0,,True,False,False
,,,,,8.16,Tee,,,,,,,,09:00:00,,,,233.29,,,,,,,,,,,,,,,,270.0,2.487168,ft,,in,,in,,270.0,,True,False,False
,,,,,11.12,Tap,,,,,,,,12:00:00,,,,233.22,,,,,,,,,,,,,,,,0.0,3.389376,ft,,in,,in,,0.0,,True,False,False
,,,,,15.13,Bend,,,,,,,,,6.2D -  31° - Over,,,232.5,,,,,,,,,,,,,,,,,4.611624000000001,ft,,in,,in,,,,False,False,False
,,,,,19.09,Magnet,,,,,,,,12:00:00,ROSEN,,,230.46,,,,,,,,,,,,,,,,0.0,5.818632,ft,,in,,in,,0.0,,True,False,False
0.01,7.7,0.344,,,20.99,Area End Launch Trap,,,,,,,,,,,0.7,229.22,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6.397752,ft,,in,,in,,,,False,False,False
0.01,,,,,26.53,AGM,,,,,,,,,"LAUNCHER VALVE 22'6"" D/S OF DOOR",,,225.52,,,,,,,,,,,,,,,,,8.086344,ft,,in,,in,,,,False,False,False
