J. no.,J. len [ft],Wt [in],to u/s w. [ft],to d/s w. [ft],Log Dist. [ft],Event Description,ID/OD,Depth [%],Depth [in],OD Reduction [%],OD Reduction [in],Length [in],Width [in],O'clock,Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification,distance_m_aligned_to_2007
,,,,,-14.6,Area Start Launcher,,,,,,,,,,,,233.7,,,,,,,,,,,,,,,,,-4.45008,ft,,in,,in,,,,False,False,False,22.462301275572056
,,,,,-1.39,Tap,,,,,,,,09:00:00,,,,233.5,,,,,,,,,,,,,,,,270.0,-0.423672,ft,,in,,in,,270.0,,True,False,False,26.490644031664203
,,,,,0.0,Valve,,,,,,,,,,,,233.47,,,,,,,,,,,,,,,,,0.0,ft,,in,,in,,,,False,False,False,26.914519613115232
,,,,,1.4,Tap,,,,,,,,09:00:00,,,,233.45,,,,,,,,,,,,,,,,270.0,0.42672,ft,,in,,in,,270.0,,True,False,False,27.341444659181015
,,,,,8.16,Tee,,,,,,,,09:00:00,,,,233.29,,,,,,,,,,,,,,,,270.0,2.487168,ft,,in,,in,,270.0,,True,False,False,29.4028827387558
,,,,,11.12,Tap,,,,,,,,12:00:00,,,,233.22,,,,,,,,,,,,,,,,0.0,3.389376,ft,,in,,in,,0.0,,True,False,False,30.30552426472346
,,,,,15.13,Bend,,,,,,,,,6.2D -  31° - Over,,,232.5,,,,,,,,,,,,,,,,,4.611624000000001,ft,,in,,in,,,,False,False,False,31.528359575240454
,,,,,19.09,Magnet,,,,,,,,12:00:00,ROSEN,,,230.46,,,,,,,,,,,,,,,,0.0,5.818632,ft,,in,,in,,0.0,,True,False,False,32.73594756268367
0.01,7.7,0.344,,,20.99,Area End Launch Trap,,,,,,,,,,,0.7,229.22,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6.397752,ft,,in,,in,,,,False,False,False,33.315345839487236
0.01,,,,,26.53,AGM,,,,,,,,,"LAUNCHER VALVE 22'6"" D/S OF DOOR",,,225.52,,,,,,,,,,,,,,,,,8.086344,ft,,in,,in,,,,False,False,False,35.00474923606184
30.0,10.14,0.5,,,28.69,GirthWeld,,,,,,,,,,,0.7,224.08,,,,1160.0,60000.0,,1800.0,,,,,,,,,,8.744712000000002,ft,,in,,in,,,,False,False,False,35.663433592849046
30.0,,,,,34.13,Bend,,,,,,,,,5.5D -  42° - Sag,,,221.04,,,,,,,,,,,,,,,,,10.402824,ft,,in,,in,,,,False,False,False,37.32234234327609
40.0,14.89,0.5,,,38.83,GirthWeld,,,,,,,,,,,0.7,220.32,,,,1160.0,60000.0,,1800.0,,,,,,,,,,11.835384,ft,,in,,in,,,,False,False,False,38.75559071221122
40.0,,,,,46.35,Bend,,,,,,,,,5.7D -  53° - Right,,,220.25,,,,,,,,,,,,,,,,,14.12748,ft,,in,,in,,,,False,False,False,41.04878810250744
50.0,40.34,0.344,,,53.72,GirthWeld,,,,,,,,,,,0.7,220.11,,,,1160.0,65000.0,,1342.0,,,,,,,,,,16.373856,ft,,in,,in,,,,False,False,False,43.29624352358231
60.0,9.27,0.5,,,94.06,GirthWeld,,,,,,,,,,,0.7,219.03,,,,1160.0,60000.0,,1800.0,,,,,,,,,,28.669488,ft,,in,,in,,,,False,False,False,55.5977837795064
60.0,,,,,98.98,Bend,,,,,,,,,5.7D -  23° - Left,,,218.88,,,,,,,,,,,,,,,,,30.169104000000004,ft,,in,,in,,,,False,False,False,57.09812036996616
70.0,8.19,0.5,,,103.33,GirthWeld,,,,,,,,,,,0.7,218.74,,,,1160.0,60000.0,,1800.0,,,,,,,,,,31.494984000000002,ft,,in,,in,,,,False,False,False,58.42463747738485
70.0,,,,,107.6,Bend,,,,,,,,,5.2D -  18° - Over,,,218.56,,,,,,,,,,,,,,,,,32.79648,ft,,in,,in,,,,False,False,False,59.726758867885486
