Joint Number,Joint Length [ft],WT [in],"Distance to U/S GW 
[ft]","Distance to D/S GW 
[ft]","ILI Wheel Count 
[ft.]",Event Description,ID/OD,"Metal Loss Depth 
[%]","Metal Loss Depth 
[in]","Metal Loss Depth + Tolerance
[%]",Dimension Classification,"Metal Loss Depth Tolerance [%] 
(includes seamless and HAZ and modified specs)","Dent Depth
 [%]","Dent Depth
 [in]","Is any part of the dent affecting the top of the pipe? 
[Y/N]",Length [in],Width [in],"O'clock
[hh:mm]",Comments,Anomalies per Joint,"Was anomaly sizing reviewed by analyst? 
[Y/N]","Was anomaly sizing/dimensions manually changed? 
[Y/N]","Magnetization Level 
[kA/m] for MFL survey 
or 
Actual WT [in] for UT Survey",Elevation [ft],"Seam Position
[hh:mm]","Distance To Seam Weld 
[in]",Tool,Evaluation Pressure [PSI],SMYS [PSI],Pipe Type,"Pipe Diameter (O.D.) 
[in.]",Pdesign [PSI],"Mod B31G Psafe 
[PSI]",Mod B31G Pburst [PSI],"Mod B31G Psafe Pressure with Tolerance
[PSI]","Mod B31G Pburst Pressure with Tolerance
[PSI]",Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,Length Tolerance [in],Width Tolerance [in],clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification,distance_m_aligned_to_2015
5,4.528,0.344,,,-2.5,Girth Weld,,,,,,,,,,,,,GIRTH WELD - ERW START,0,,,5.97,,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5,4.528,0.344,,,-1.565,Tap,,,,,,,,,,,,09:00:00,1.5 IN OFFTAKE-WELDOLET,0,,,5.97,,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,270.0,,ft,,in,,in,,270.0,,False,False,False,
5,4.528,0.344,,,-0.003,Valve,,,,,,,,,,,,,MOV-0109C LAUNCHER,0,,,5.97,233.47,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5,4.528,0.344,,,1.243,Tap,,,,,,,,,,,,09:00:00,1.5 IN OFFTAKE-WELDOLET,0,,,5.97,233.45,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,270.0,,ft,,in,,in,,270.0,,False,False,False,
15,4.551,0.344,,,2.028,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
17,2.887,0.344,,,6.575,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
17,2.887,0.344,,,8.081,Tee,,,,,,,,,,,,09:00:00,24 IN OFFTAKE-FORGED-TEE,0,,,5.97,233.29,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,270.0,,ft,,in,,in,,270.0,,False,False,False,
18,11.778,0.5,,,9.462,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,,08:28,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
18,11.778,0.5,,,10.968,Tap,,,,,,,,,,,,12:00:00,3 IN OFFTAKE-WELDOLET,0,,,4.14,233.22,08:28,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,0.0,,ft,,in,,in,,0.0,,False,False,False,
18,11.778,0.5,,,15.351,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 6.2D - 31° OVER,0,,,4.14,232.5,08:28,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
28,7.316,0.344,,,21.24,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,,09:24,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
30,10.784,0.5,,,28.556,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,,08:24,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
30,10.784,0.5,,,33.747,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 5.5D - 42° UNDER,0,,,4.14,223.142,08:24,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
40,15.299,0.5,,,39.344,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,4.14,221.191,12:20,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
40,15.299,0.5,,,46.552,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 5.7D - 53° RIGHT,0,,,4.14,220.255,12:20,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
50,40.026,0.344,,,54.639,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,220.144,10:52,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
50,40.026,0.344,,,93.369,Attachment,,,,,,,,,,,,05:00:00,ATTACHMENT,0,,,5.97,219.132,10:52,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,150.0,,ft,,in,,in,,150.0,,False,False,False,
60,9.767,0.5,,,94.665,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,219.097,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
60,9.767,0.5,,,99.396,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 5.7D - 23° LEFT,0,,,4.14,218.964,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
70,8.104,0.5,,,104.432,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,4.14,218.814,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
70,8.104,0.5,,,108.353,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 5.2D - 18° OVER,0,,,4.14,218.612,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
75,16.985,0.344,,,112.536,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.500/0.344IN,4,,,5.97,218.235,07:36,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
75,16.985,0.344,,,114.291,Attachment,,,,,,,,,,,,06:00:00,ATTACHMENT,4,,,5.97,218.077,07:36,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,180.0,,ft,,in,,in,,180.0,,False,False,False,
75,16.985,0.344,13.366,3.619,125.902,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,3.4,1.8,05:42:00,EXT ML,4,N,N,5.97,213.96,07:36,11.938,CMFL,1025,65000,E.R. WELD,24,1341.6,1480.5,2056.2,1407.2,1954.5,1468.3,2039.3,0.692,1.104,1.0,1.2,150.0,4.0739568,ft,86.36,in,45.72,in,17.0,150.0,gene,True,True,True,1259.652433251936
75,16.985,0.344,13.842,3.143,126.378,Metal Loss,External,29.0,0.1,44.0,GENE,20.0,,,,7.0,6.1,09:03:00,EXT ML,4,N,N,5.97,213.782,07:36,9.215,CMFL,1025,65000,E.R. WELD,24,1341.6,1317.3,1829.6,1174.4,1631.1,1380.6,1917.5,0.778,0.983,1.0,1.2,270.0,4.219041600000001,ft,177.79999999999998,in,154.93999999999997,in,29.0,270.0,gene,True,True,True,1319.7969576095606
75,16.985,0.344,16.05,0.938,128.583,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,2.4,2.6,04:39:00,EXT ML,4,N,N,5.97,212.96,07:36,18.431,CMFL,1025,65000,E.R. WELD,24,1341.6,1495.2,2076.7,1442.6,2003.6,1483.9,2061.0,0.686,1.114,1.0,1.2,120.0,4.892040000000001,ft,60.959999999999994,in,66.03999999999999,in,21.0,120.0,gene,True,True,True,1598.786684041567
75,16.985,0.344,16.306,0.682,128.839,Metal Loss,External,30.0,0.103,45.0,GENE,20.0,,,,3.0,4.0,05:59:00,EXT ML,4,N,N,5.97,212.865,07:36,8.796,CMFL,1025,65000,E.R. WELD,24,1341.6,1434.8,1992.7,1353.7,1880.1,1430.7,1987.1,0.714,1.069,1.0,1.2,150.0,4.970068800000001,ft,76.19999999999999,in,101.6,in,30.0,150.0,gene,True,True,True,1631.1333189902057
80,15.289,0.344,,,129.521,Girth Weld,,,,,,,,,,,,,GIRTH WELD,4,,,5.97,212.611,08:56,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
80,15.289,0.344,13.852,1.437,143.373,Metal Loss,External,32.0,0.11,47.0,GENE,20.0,,,,3.4,6.9,11:30:00,EXT ML,4,N,N,5.97,207.202,08:56,18.431,CMFL,1025,65000,E.R. WELD,24,1341.6,1409.4,1957.5,1314.0,1825.0,1428.4,1983.8,0.727,1.049,1.0,1.2,330.0,4.2220896,ft,86.36,in,175.26,in,32.0,330.0,gene,True,True,True,1321.0604980372416
80,15.289,0.344,14.127,1.161,143.648,Metal Loss,External,25.0,0.086,40.0,CIGR,25.0,,,,0.7,2.2,01:00:00,EXT ML,4,N,N,5.97,207.094,08:56,25.552,CMFL,1025,65000,E.R. WELD,24,1341.6,1540.5,2139.5,1533.3,2129.6,1538.7,2137.1,0.665,1.148,1.0,1.2,30.0,4.305909600000001,ft,17.779999999999998,in,55.88,in,25.0,30.0,cigr,True,True,True,1355.8078597984745
80,15.289,0.344,14.134,1.155,143.655,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,3.1,3.1,08:33:00,EXT ML ( NEAR SW ),4,N,N,5.97,207.091,08:56,2.304,CMFL,1025,65000,E.R. WELD,24,1341.6,1506.9,2092.9,1443.2,2004.4,1498.9,2081.8,0.68,1.123,1.0,1.2,240.0,4.3080432,ft,78.74,in,78.74,in,12.0,240.0,gene,True,True,True,1356.6923380978512
80,15.289,0.344,14.154,1.135,143.675,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,2.4,2.1,04:30:00,EXT ML,4,N,N,5.97,207.083,08:56,27.855,CMFL,1025,65000,E.R. WELD,24,1341.6,1492.8,2073.3,1442.6,2003.6,1480.9,2056.8,0.687,1.114,1.0,1.2,120.0,4.3141392000000005,ft,60.959999999999994,in,53.339999999999996,in,21.0,120.0,gene,True,True,True,1359.2194189532136
