pair,dst_id,confidence,score,dst_type,dst_clock_deg,dst_depth_pct,dst_length_mm,dst_width_mm,dst_distance_m_aligned
2022_to_2015,2484,0.48709672285104166,0.48709672285104166,gene,0.0,19.0,251.46,154.93999999999997,4479.406151069141
2022_to_2015,2327,0.43219871725432923,0.43219871725432923,gene,300.0,27.0,256.53999999999996,175.26,3220.5408229703735
2022_to_2015,758,0.42389444876557175,0.42389444876557175,,330.0,,480.05999999999995,,3281.8225337129106
2022_to_2015,587,0.3999533360733913,0.3999533360733913,gene,330.0,13.0,60.959999999999994,86.36,2771.4785549724784
2022_to_2015,3626,0.3999481550539423,0.3999481550539423,gene,120.0,17.0,198.11999999999998,104.13999999999999,133.71155814522837
2022_to_2015,1629,0.3999402379499552,0.3999402379499552,gene,120.0,15.0,63.5,40.64,850.5180427687669
2022_to_2015,2066,0.3999360758149057,0.3999360758149057,,90.0,,332.73999999999995,,1721.4764595694105
2022_to_2015,3931,0.3999291481948391,0.3999291481948391,gene,210.0,23.0,165.1,55.88,1862.8666334269356
2022_to_2015,4187,0.3999263877184288,0.3999263877184288,gene,180.0,20.0,38.099999999999994,40.64,1118.2622593944109
2022_to_2015,3686,0.3999180812974664,0.3999180812974664,gene,90.0,14.0,48.26,48.26,2710.9549684865497
2022_to_2015,4661,0.3999153448669513,0.3999153448669513,gene,270.0,60.0,731.52,182.88,1308.1723856748933
2022_to_2015,3262,0.39991270351066244,0.39991270351066244,gene,60.0,13.0,142.23999999999998,50.8,2532.795768183502
2022_to_2015,1189,0.3998948529051224,0.3998948529051224,corrosion,300.0,13.0,25.4,17.779999999999998,304.16316183942087
2022_to_2015,710,0.39986708074402244,0.39986708074402244,gene,90.0,18.0,200.66,50.8,2398.4814207209915
2022_to_2015,1921,0.3998660583639648,0.3998660583639648,,60.0,,185.42,,2508.283083886487
2022_to_2015,1358,0.39984476277644965,0.39984476277644965,axgr,90.0,11.0,91.44,25.4,1923.769282041169
2022_to_2015,2119,0.39984333404601846,0.39984333404601846,gene,120.0,19.0,198.11999999999998,121.91999999999999,1692.4150297327433
2022_to_2015,1161,0.3998243668045625,0.3998243668045625,gene,270.0,44.0,127.0,38.099999999999994,935.554313551711
2022_to_2015,4641,0.39981621178144455,0.39981621178144455,gene,330.0,13.0,208.27999999999997,71.11999999999999,365.44487258195835
2022_to_2015,4282,0.39979580487662664,0.39979580487662664,gene,60.0,15.0,99.05999999999999,68.58,461.726653171265
2022_to_2015,2966,0.3997951961593705,0.3997951961593705,gene,120.0,42.0,457.2,167.64,1978.4805825597641
2022_to_2015,3012,0.39979466183863527,0.39979466183863527,gene,30.0,14.0,177.79999999999998,88.89999999999999,3589.3682738105117
2022_to_2015,2805,0.3997847385003184,0.3997847385003184,gene,60.0,30.0,50.8,43.18,124.23500493761941
2022_to_2015,3739,0.3997635798333862,0.3997635798333862,gene,330.0,13.0,88.89999999999999,63.5,205.48065443751983
2022_to_2015,3915,0.3997524190261304,0.3997524190261304,gene,180.0,35.0,175.26,139.7,206.7441948652011
2022_to_2015,4450,0.3997505479021339,0.3997505479021339,gene,60.0,13.0,215.89999999999998,76.19999999999999,108.06168746330019
2022_to_2015,4563,0.39974652905794245,0.39974652905794245,gene,210.0,12.0,48.26,50.8,740.7163796032717
2022_to_2015,850,0.39973474669290304,0.39973474669290304,gene,330.0,14.0,109.21999999999998,43.18,204.21711400983867
2022_to_2015,254,0.39972259367576074,0.39972259367576074,gene,330.0,14.0,215.89999999999998,73.66,704.5791233715897
2022_to_2015,5109,0.39971207624610305,0.39971207624610305,gene,150.0,34.0,30.479999999999997,45.72,2723.084956592289
2022_to_2015,5118,0.3997100731588289,0.3997100731588289,gene,120.0,14.0,175.26,104.13999999999999,716.5827574345608
2022_to_2015,1668,0.3997093472528601,0.3997093472528601,gene,90.0,13.0,104.13999999999999,60.959999999999994,1057.3596107801775
2022_to_2015,3046,0.3997076451785191,0.3997076451785191,axgr,210.0,14.0,35.559999999999995,17.779999999999998,401.9611909419447
2022_to_2015,4026,0.3997054809734861,0.3997054809734861,gene,90.0,12.0,127.0,48.26,1547.3605886349428
